trip_duration_days,miles_traveled,total_receipts_amount,expected_output,model_output,abs_error
364.51,3,93.0,1.42,66.17882544863899,64.75882544863899
126.06,1,55.0,3.6,35.64040105779431,32.040401057794305
128.91,1,47.0,17.97,30.361058923886446,12.391058923886447
203.52,2,13.0,4.67,-9.647915641957722,14.317915641957722
380.37,3,88.0,5.78,66.17882544863899,60.39882544863899
158.35,1,76.0,13.74,73.38771030325321,59.64771030325321
320.12,3,41.0,4.52,33.59418328438336,29.074183284383363
199.68,1,140.0,22.71,48.49435059800373,25.784350598003726
464.07,3,121.0,21.17,135.32334223001635,114.15334223001635
359.1,3,117.0,21.99,71.08204855198092,49.09204855198092
356.17,2,202.0,21.24,127.16185800179636,105.92185800179637
366.87,3,80.0,21.05,109.41812373456752,88.36812373456752
430.86,3,177.0,18.73,279.467349492594,260.737349492594
195.14,1,141.0,10.15,48.49435059800373,38.34435059800373
117.24,1,58.0,5.86,36.06980105779431,30.20980105779431
179.06,1,133.0,8.34,68.08585225531891,59.74585225531891
120.65,1,59.0,8.31,36.53530105779431,28.225301057794304
234.2,2,89.0,13.85,61.30311330450094,47.45311330450094
325.56,2,147.0,17.43,73.49755192428472,56.06755192428472
574.1,5,130.0,306.9,283.2743156290745,23.625684370925455
1443.96,5,173.0,1337.9,1464.6922570819186,126.79225708191848
869.0,5,592.0,433.75,411.886185477816,21.863814522183986
1030.41,5,679.0,476.08,487.65143817111937,11.571438171119382
1654.62,5,708.0,1129.52,1359.337971987189,229.8179719871889
621.12,5,261.0,464.94,552.8983036304372,87.95830363043723
1624.01,5,521.0,1448.55,1774.4662772090599,325.9162772090599
1231.67,5,595.0,863.93,801.558429174412,62.37157082558792
1608.6,5,811.0,952.39,1237.342706831325,284.9527068313249
1045.96,5,477.0,704.42,679.0302341340456,25.38976586595436
991.49,5,730.0,485.73,458.73871354867254,26.991286451327483
1485.59,5,262.0,1173.79,1555.6082496977956,381.81824969779564
788.62,5,446.0,219.98,320.1962750937861,100.2162750937861
1063.46,5,751.0,407.43,507.4091523098271,99.9791523098271
686.54,5,324.0,128.94,183.94259104217525,55.002591042175254
1368.94,5,414.0,967.0,1057.4129222185913,90.41292221859135
742.25,5,367.0,290.78,349.73378089296403,58.95378089296406
1468.46,5,764.0,848.75,966.23102084638,117.48102084638003
1719.37,8,862.0,1817.85,1964.075198439802,146.22519843980217
1779.12,11,927.0,1994.33,1935.3191761847997,59.01082381520018
1085.4,9,602.0,186.69,340.7518926637545,154.06189266375452
841.27,8,610.0,208.29,349.29486504741845,141.00486504741846
1618.13,12,333.0,1103.21,1446.914802105118,343.704802105118
1525.26,8,435.0,1129.65,1369.4796044460418,239.82960444604169
1561.63,9,218.0,1203.45,1591.4427761638005,387.9927761638005
1752.72,12,781.0,1159.18,1536.1362519675558,376.9562519675558
